,feature,Loss
76,High:STOCHd:9:3:1d,0.28331956085468074
78,Low:STOCHk:9:3:1d,0.2832192589096058
175,waves_MACD_12_26_9_max:1d,0.25986298133711316
9,EMA_14:1d,0.25986298133711316
176,waves_OBV_max:1d,0.25983229006732017
36,Open:STOCHk:3:3:1d,0.25983229006732017
219,CDL_HIKKAKE,0.25983229006732017
100,High:STOCHd:20:3:1d,0.25980160604629193
64,High:STOCHd:7:3:1d,0.2596482945827924
182,waves_MACDh_12_26_9_max:1d,0.23626698168930896
63,High:STOCHk:7:3:1d,0.23621117278847292
161,waves_CCI_9_min:1d,0.23621117278847292
7,EMA_9:1d,0.21274081077886772
181,waves_STOCHk_50_max:1d,0.21271567005436065
94,Close:STOCHd:20:3:1d,0.21266540642722118
5,EMA_5:1d,0.18917001655237645
252,CDL_XSIDEGAP3METHODS,0.18917001655237645
6,EMA_8:1d,0.18912529550827425
247,CDL_TASUKIGAP,0.18903591682419657
231,CDL_MARUBOZU,0.16556291390728478
178,waves_CCI_9_max:1d,0.14194464158978
207,CDL_DOJISTAR,0.09465215333648841
4,EMA_3:1d,0.09465215333648841
183,div_MACD_12_26_9_max:1d,0.07100591715976332
190,div_MACDh_12_26_9_max:1d,0.07099751508697197
189,div_STOCHk_50_max:1d,0.04734288081429755
186,div_CCI_9_max:1d,0.04733727810650887
188,div_STOCHk_14_max:1d,0.04733727810650887
184,div_OBV_max:1d,0.023668639053254434
185,div_RSI_14_max:1d,0.0
